gene_cluster_id	Agnostos_categories!DISC	Agnostos_categories!EU	Agnostos_categories!GU	Agnostos_categories!K	Agnostos_categories!KWP	Agnostos_categories!SINGL	Agnostos_categories!NA	Agnostos_number_of_clusters
GC_00000491	0.5833333333333334	0	0	0.4166666666666667	0	0	0	2
GC_00000492	0	0	1	0	0	0	0	2
GC_00000493	0	0	0	1	0	0	0	2
GC_00000494	0	0	0	1	0	0	0	1
GC_00000495	0	0	0	1	0	0	0	2
GC_00000496	0	0	0	1	0	0	0	1
GC_00000497	0	0	0	1	0	0	0	1
GC_00000498	0	0	0	1	0	0	0	1
GC_00000499	1	0	0	0	0	0	0	1
GC_00000500	0	0	0	1	0	0	0	1
GC_00000501	0	0	1	0	0	0	0	1
GC_00000502	0.5833333333333334	0	0.4166666666666667	0	0	0	0	2
GC_00000503	0	0	0	1	0	0	0	1
GC_00000504	0	0	0	1	0	0	0	2
GC_00000505	0	0	0	1	0	0	0	1
GC_00000506	0	0	0	1	0	0	0	2
GC_00000507	0	0	0	1	0	0	0	2
GC_00000508	0	0	0	1	0	0	0	1
GC_00000509	0	0	0	1	0	0	0	1
GC_00000510	0	0	0	1	0	0	0	1
GC_00000511	0	0	1	0	0	0	0	1
GC_00000512	0	0	0	1	0	0	0	1
GC_00000513	0	0	0	1	0	0	0	1
GC_00000514	0	0	0	1	0	0	0	2
GC_00000515	0.5833333333333334	0	0	0.4166666666666667	0	0	0	3
GC_00000516	0	0	0	1	0	0	0	1
GC_00000517	0	0	0	1	0	0	0	1
